time-ind,ti      ,tf      ,phi     ,mk      ,Ru      ,phiN    ,max(u)  ,toc     
0,0,0,0,0,0,0,0,0
1,11,13,4.7248e+09,1428.8,28.744,4.7248e+05,0.16009,149.54
2,13,15,1.0809e+10,4006.6,64.098,1.0809e+06,0.25411,156.87
3,15,17,1.3664e+10,5564.7,87.894,1.3664e+06,0.35997,138.05
4,17,19,1.0881e+10,7508.7,127.01,1.0881e+06,0.6617,149.55
5,19,21,1.0323e+10,3274.3,74.663,1.0323e+06,0.29844,130
6,21,23,1.0564e+10,5137.1,123.64,1.0564e+06,0.52886,115.41
7,23,25,5.509e+09,67033,1342.1,5.5088e+05,2.0974,147.88
8,25,27,5.2027e+09,3511.8,153.73,5.2027e+05,0.51185,138.7
9,27,29,4.4831e+09,4309.1,240.22,4.483e+05,0.82129,123.47
10,29,31,3.4742e+09,6393.4,366.23,3.4742e+05,0.75662,181.99
11,31,33,2.3468e+09,15780,732.26,2.3467e+05,1.5099,127.86
12,33,35,1.7478e+09,14968,1097.7,1.7477e+05,6.1518,132.29
